Month;Year;Number of Bicycle Hires Monthly;
07;2010;12461;
08;2010;341203;
09;2010;540859;
10;2010;544412;
11;2010;456304;
12;2010;285574;
01;2011;403178;
02;2011;398292;
03;2011;556155;
04;2011;673639;
05;2011;722072;
06;2011;638717;
07;2011;708454;
08;2011;642440;
09;2011;684780;
10;2011;708802;
11;2011;597191;
12;2011;408729;
01;2012;494325;
02;2012;481826;
03;2012;818209;
04;2012;649473;
05;2012;926952;
06;2012;858805;
07;2012;1014174;
08;2012;1163171;
09;2012;1015145;
10;2012;856866;
11;2012;726893;
12;2012;513444;
01;2013;565589;
02;2013;516588;
03;2013;504611;
04;2013;658230;
05;2013;749934;
06;2013;813631;
07;2013;998755;
08;2013;904155;
09;2013;701724;
10;2013;674154;
11;2013;514146;
12;2013;443942;
01;2014;493870;
02;2014;522940;
03;2014;757864;
04;2014;805571;
05;2014;890709;
06;2014;1052573;
07;2014;1183182;
08;2014;1055206;
09;2014;1058684;
10;2014;907998;
11;2014;715447;
12;2014;579853;
01;2015;583663;
02;2015;549278;
03;2015;701384;
04;2015;838543;
05;2015;899969;
06;2015;1039768;
07;2015;1134816;
08;2015;1042932;
09;2015;903429;
10;2015;885375;
11;2015;684518;
12;2015;608164;
01;2016;586325;
02;2016;597641;
03;2016;664485;
04;2016;763308;
05;2016;1013666;
06;2016;963232;
07;2016;1188428;
08;2016;1158393;
09;2016;1053039;
10;2016;945143;
11;2016;711002;
12;2016;658975;
01;2017;638491;
02;2017;618550;
03;2017;819752;
04;2017;917716;
05;2017;992601;
06;2017;1098294;
07;2017;1131838;
08;2017;994199;
09;2017;934751;
10;2017;973682;
11;2017;792082;
12;2017;534088;
01;2018;645901;
02;2018;576425;
03;2018;604921;
04;2018;824737;
05;2018;1112686;
06;2018;1181642;
07;2018;1253102;
08;2018;1058181;
09;2018;1008201;
10;2018;978290;
11;2018;738024;
12;2018;585430;
01;2019;685798;
02;2019;698917;
03;2019;792272;
04;2019;890148;
05;2019;1006547;
06;2019;1006434;
07;2019;1152150;
08;2019;1053921;
09;2019;965581;
10;2019;851999;
11;2019;729111;
12;2019;592077;
01;2020;709673;
02;2020;641128;
03;2020;553648;
04;2020;591294;
05;2020;1121435;
06;2020;1158560;
07;2020;1170060;
08;2020;1153276;
09;2020;1137524;
10;2020;848233;
11;2020;760245;
12;2020;589091;
01;2021;409887;
02;2021;511046;
03;2021;748511;
04;2021;943760;
05;2021;921988;
06;2021;1183634;
07;2021;1168166;
08;2021;1111134;
09;2021;1220318;
10;2021;1110571;
11;2021;945047;
12;2021;667202;
01;2022;748502;
02;2022;749898;
03;2022;1056720;
04;2022;1031077;
05;2022;1201054;
06;2022;1280180;
07;2022;1315801;
08;2022;1259932;
09;2022;800950;
10;2022;864369;
11;2022;725556;
12;2022;471833;
01;2023;571133;
02;2023;613325;
03;2023;630605;
04;2023;646899;
05;2023;821433;
06;2023;884730;
07;2023;808688;
08;2023;778336;
09;2023;847108;
10;2023;789807;
11;2023;664981;
12;2023;474123;
01;2024;558837;
02;2024;568039;
03;2024;647372;